Region/Country/Area,,Year,Series,Value,Footnotes,Source
62,South-central Asia,2005,Researchers per million inhabitants (FTE),150.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
62,South-central Asia,2010,Researchers per million inhabitants (FTE),174.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
62,South-central Asia,2015,Researchers per million inhabitants (FTE),237.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
62,South-central Asia,2020,Researchers per million inhabitants (FTE),308.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2005,Researchers per million inhabitants (FTE),376.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2010,Researchers per million inhabitants (FTE),533.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2015,Researchers per million inhabitants (FTE),673,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
35,South-eastern Asia,2020,Researchers per million inhabitants (FTE),883.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2005,Researchers per million inhabitants (FTE),139.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2010,Researchers per million inhabitants (FTE),166.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2015,Researchers per million inhabitants (FTE),227.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
34,Southern Asia,2020,Researchers per million inhabitants (FTE),303.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2005,Researchers per million inhabitants (FTE),644.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2010,Researchers per million inhabitants (FTE),731.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
145,Western Asia,2015,Researchers per million inhabitants (FTE),912.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2023."
